-60.666670  46.850000
-60.415849  47.037901
-60.349730  47.166390
-60.294440  47.273610
-60.266667  47.358333
-60.000000  47.833330
-58.809960  46.850000
-58.530790  46.616670
-57.798730  46.000000
-56.656889  45.140559
-55.1456554573 43.33261844218
-55.68125469362 42.6033004851
-56.05085314958 42.22771953875
-56.38852285113 41.85752664363
-57.0097735616 41.39016427721
-57.66101911857 41.04951089832
-58.45709619645 40.77661043992
-59.73115926281 40.56670150747
-60.37103016535 40.55566801018
-60.99776951352 40.63769695632
-61.34503695018 40.64436402001
-62.57451365555 40.92666730458
-63.03564465657 40.74553223475
-63.64855420515 40.48232856562
-65.05453539808 40.11360332325
-66.54781290588 40.03411354905
-66.7267400106 40.07644600478
-67.2807325202 40.9972610914
-67.48867129634 41.42667056464
-67.8736335882 41.91420560545
-67.6394775291 42.58398901998
-67.41387141034 42.90556432141
-67.15951238317 43.71054497018
-67.2278146083 44.3263579255
-66.94316753621 44.74938097644
-66.97840977186 44.84021385186
-67.10124251528 44.91020921643
-67.1300331136 45.10879346587
-64.7 45.75
-65 46
-63 45.6
-65 44.5
-66 44.4
-66 43.75
-65.5 43.5
-64.5 44.5
-64 45
-63.000000 45.166670
-65.8 43.85
-65.5 43.8
-64.5 44.5
-64 45
-63.000000 45.2
-61.858804 45.391144
-61.404170 45.641670
-60.516670 45.616670
-60.300000 45.900000
-59.850000 46.000000
-60.500000 46.166670
-60.00000 46.000000
-60.700000 46.166670
-60.500000 46.616670
-60.500000 46.700000
-60.300000 46.850000
-60.666670 46.850000
