PID,POS,X,Y,label
3,24,-66.138336,73.308334,1A     
3,25,-65.126663,72.846664,1A     
3,26,-65.014999,72.794998,1A     
3,27,-64.973335,72.761665,1A     
3,28,-64.904999,72.728333,1A     
3,29,-64.646667,72.605003,1A     
3,30,-64.434998,72.508331,1A     
3,31,-64.220001,72.41333,1A     
3,32,-63.683334,72.183334,1A     
3,33,-63.514999,72.106667,1A     
3,34,-63.351665,72.028336,1A     
3,35,-63.064999,71.881668,1A     
3,36,-62.884998,71.78833,1A     
3,37,-62.826668,71.745003,1A     
3,38,-62.558334,71.548332,1A     
3,39,-62.533333,71.529999,1A     
3,40,-62.488335,71.489998,1A     
3,41,-62.424999,71.431664,1A     
3,42,-62.291668,71.315002,1A     
3,43,-62.151669,71.201668,1A     
3,44,-61.711666,70.863335,1A     
3,45,-61.631668,70.803337,1A     
3,46,-61.343334,70.59333,1A     
3,47,-61.290001,70.551666,1A     
3,48,-61.176666,70.223335,1A     
3,49,-61.146667,70.146667,1A     
3,50,-61.134998,70.125,1A     
3,51,-61.07,70.026665,1A     
3,52,-61,69.93,1A     
3,53,-61,69.93,1A     
3,54,-60.993332,69.921669,1A     
3,55,-60.970001,69.830002,1A     
3,56,-60.860001,69.489998,1A     
3,57,-60.458332,69.213333,1A     
3,58,-60.396667,69.171669,1A     
3,59,-60.308334,69.113335,1A     
3,60,-60.150002,69.013336,1A     
3,61,-60.040001,68.946663,1A     
3,62,-59.751851,68.833333,1A     
3,63,-44,68.833333,1A     
3,64,-44,78.166667,1A     
4,1,-44,68.833333,1B     
4,2,-59.751851,68.833333,1B     
4,3,-59.243332,68.633331,1B     
4,4,-59.238335,68.631668,1B     
4,5,-59.076668,68.566666,1B     
4,6,-59.029999,68.548332,1B     
4,7,-58.706665,68.421669,1B     
4,8,-58.650002,68.361664,1B     
4,9,-58.568333,68.268333,1B     
4,10,-58.453335,68.125,1B     
4,11,-58.445,68.113335,1B     
4,12,-58.416668,68.071663,1B     
4,13,-58.388332,68.029999,1B     
4,14,-58.330002,67.948334,1B     
4,15,-58.165001,67.736664,1B     
4,16,-58.103333,67.661667,1B     
4,17,-58.036667,67.588333,1B     
4,18,-57.963333,67.511665,1B     
4,19,-57.935001,67.485001,1B     
4,20,-57.921665,67.471664,1B     
4,21,-57.915001,67.455002,1B     
4,22,-57.878334,67.360001,1B     
4,23,-57.716667,66.824997,1B     
4,24,-57.676666,66.696663,1B     
4,25,-57.66,66.631668,1B     
4,26,-57.653332,66.601669,1B     
4,27,-57.638332,66.504997,1B     
4,28,-57.630001,66.410004,1B     
4,29,-57.630001,66.313332,1B     
4,30,-57.634167,66.25,1B     
4,31,-44,66.25,1B     
4,32,-44,68.833333,1B     
5,1,-44,66.25,1C     
5,2,-57.634167,66.25,1C     
5,3,-57.636665,66.214996,1C     
5,4,-57.66,66.058334,1C     
5,5,-57.668335,65.959999,1C     
5,6,-57.676666,65.861664,1C     
5,7,-57.678333,65.848335,1C     
5,8,-57.698334,65.628334,1C     
5,9,-57.705002,65.580002,1C     
5,10,-57.748333,65.388336,1C     
5,11,-57.763332,65.301666,1C     
5,12,-57.740002,65.193336,1C     
5,13,-57.731667,65.148331,1C     
5,14,-57.735001,65.099998,1C     
