PID,POS,X,Y,label
1,1,-66.85,43.15,German Bank
2,2,-66.7,42.75,Browns North
3,3,-64.75,42.6,Browns South
4,4,-64.5,41.85,Georges 'B'
5,5,-67.2,41.2,Georges 'A'
6,6,-61,43.7,Eastern Scotian Shelf
7,7,-58.1,44.6,Banquereau
8,8,-56,45.9,St. Pierre Bank
