-66.169	43.798
-66.118	43.846
-66.124	43.74
-66.089	43.779
-66.014	43.68
-66.007	43.844
-65.959	43.761
-65.935	43.863
-65.805	43.592
-65.775	43.701
-65.729	43.492
-65.575	43.567
-65.468	43.45
-65.464	43.601
-65.338	43.537
-65.38	43.743
-65.254	43.658
-65.237	43.797
-65.129	43.653
-65.092	43.748
-65.029	43.695
-65.042	43.824
-64.981	43.744
-64.924	43.797
-64.973	43.87
-64.912	43.789
-64.918	43.878
-64.834	43.814
-64.783	43.868
-64.844	43.933
-64.551	44.07
-64.616	44.155
-64.521	44.117
-64.369	44.26
-64.438	44.345
-64.246	44.258
-64.343	44.365
-64.211	44.378
-64.373	44.448
-64.294	44.481
-64.305	44.566
-64.173	44.586
-64.08	44.469
-64.007	44.506
-64.065	44.634
-63.888	44.69
-63.938	44.504
-63.79	44.535
-63.816	44.478
-63.767	44.524
-63.648	44.431
-63.52	44.504
-63.662	44.726
-63.451	44.587
-63.451	44.68
-63.282	44.625
-63.25	44.736
-63.225	44.667
-63.14	44.687
-63.127	44.789
-63.049	44.671
-63.005	44.72
-63.068	44.774
-63	44.695
-62.837	44.702
-62.798	44.763
-62.879	44.813
-62.659	44.771
-62.619	44.844
-62.545	44.786
-62.571	44.866
-62.489	44.89
-62.545	44.922
-62.457	44.82
-62.256	44.972
-62.054	44.955
-62	44.993
-62.098	45.003
-61.947	45.009
-61.978	45.068
-61.882	45.028
-61.958	45.095
-61.854	45.035
-61.845	45.106
-61.653	45.089
-61.795	45.244
-61.6	45.144
-61.311	45.19
-61.387	45.202
-61.28	45.264
-61.174	45.211
-61.171	45.3
-61.117	45.281
-61.156	45.21
-61.042	45.229
-61.042	45.296
-60.982	45.254
-61.015	45.354
-61.492	45.368
-61.519	45.434
-61.486	45.38
-61.228	45.483
-61.484	45.692
-61.621	45.614
-61.888	45.692
-59.847	46
-59.967	46.035
-59.796	46.126
-59.903	46.102
-59.817	46.182
-60.125	46.268
-60.217	46.114
-60.229	46.188
-60.31	46.148
-60.203	46.249
-60.291	46.342
-60.414	46.293
-60.454	46.344
-60.621	46.206
-60.35	46.613
-60.405	46.669
-60.307	46.862
-60.515	46.904
-60.413	47.039
-60.618	47.033
-61.056	46.618
-61.272	46.266
-61.554	46.04
-61.468	45.716
-61.292	45.547
-61.229	45.627
-61.162	45.564
-60.871	45.652
-60.685	45.566
-60.42	45.642
-60.081	45.801
-60.149	45.877
-59.787	45.951
-59.846	45.998
