-64 45
-63.33333 44.33290
-63.33333 43.60917
-63.33333 40.48232856562
-63.64855420515 40.48232856562
-65.05453539808 40.11360332325
-66.54781290588 40.03411354905
-66.7267400106 40.07644600478
-67.2807325202 40.9972610914
-67.48867129634 41.42667056464
-67.8736335882 41.91420560545
-67.6394775291 42.58398901998
-67.41387141034 42.90556432141
-67.15951238317 43.71054497018
-67.2278146083 44.3263579255
-66.94316753621 44.74938097644
-66.97840977186 44.84021385186
-67.10124251528 44.91020921643
-67.1300331136 45.10879346587
-64.7 45.75
-65 46
-63 45.6
-65 44.5
-66 44.4
-66 43.75
-65.5 43.5
-64.5 44.5
-64 45
