Station,Lat Start,Long Start,Lat End,Long End,ID,Caution Code
244,44.5107,62.8377,44.5117,62.8412,Old,1
259,44.3612,63.0742,44.3618,63.0705,Old,1
261,44.4833,63.3202,44.4865,63.3195,Old,1
266,44.3872,63.4685,44.3867,63.4728,Old,1
267,44.3708,63.5982,44.3682,63.5997,Old,1
268,44.3683,63.7620,44.3687,63.7660,Old,1
269,44.2832,63.7413,44.2822,63.7380,Old,1
270,44.2082,63.8617,44.2092,63.8583,Old,1
278,44.0567,64.1920,44.0615,64.1815,Old,1
300,44.3850,59.7118,44.3867,59.7088,Old,1
301,44.3035,59.7757,44.3057,59.7775,Old,1
302,44.2033,59.6758,44.2025,59.6720,Old,1
305,44.7778,59.9193,44.7755,59.9180,Old,1
306,44.1242,59.7685,44.1262,59.7715,Old,1
307,44.1115,59.9213,44.1133,59.9252,Old,1
308,44.1222,60.2642,44.1213,60.2682,Old,1
309,44.1462,60.5447,44.1493,60.5442,Old,1
324,44.6453,61.3460,44.6480,61.3472,Old,1
325,44.6983,61.4847,44.6958,61.4827,Old,1
327,44.2772,61.2522,44.2740,61.2532,Old,1
330,44.8880,61.4463,44.8882,61.4502,Old,1
333,47.2940,60.1755,47.2928,60.1720,New 06,1
334,47.1698,60.0538,47.1728,60.0530,New 06,1
336,44.6812,59.6660,44.6837,59.6647,Old,1
337,44.5918,59.7523,44.5895,59.7548,Old,1
338,44.7715,59.5990,44.7693,59.5960,Old,1
339,44.6295,59.6753,44.6277,59.6775,New 06,1
340,44.4523,59.5228,44.4503,59.5197,Old,1
341,44.8198,59.4008,44.8180,59.4030,Old,1
342,44.7143,59.3913,44.7168,59.3922,New 06,1
343,44.3645,59.4413,44.3622,59.4413,Old,1
344,44.2690,59.4768,44.2692,59.4725,Old,1
346,44.6343,59.2610,44.6347,59.2575,New 06,1
347,44.4123,59.3228,44.4147,59.3208,Old,1
351,44.4027,59.1287,44.4050,59.1262,Old,1
352,44.3113,59.1597,44.3133,59.1628,Old,1
358,44.6137,58.9288,44.6148,58.9288,Old,1
363,44.7028,58.9463,44.7022,58.9507,Old,1
364,44.8132,58.6877,44.8152,58.6875,Old,1
366,44.8208,58.4267,44.8228,58.4293,Old,1
367,44.7612,58.2982,44.7613,58.3020,Old,1
368,44.8063,58.1007,44.8063,58.1047,Old,1
369,44.8747,58.9898,44.8770,58.9908,Old,1
370,44.8558,58.8108,44.8580,58.8082,Old,1
371,45.8855,58.5278,44.8882,58.5288,Old,1
372,44.9903,58.4658,44.9928,58.4633,Old,1
373,44.8870,58.2083,44.8892,58.2112,Old,1
374,44.9597,58.0323,44.9573,58.0298,Old,1
375,45.0502,58.6603,45.0492,59.6637,Old,1
376,45.1617,58.3692,45.1587,58.3672,Old,1
378,45.0627,58.1252,45.0612,58.1288,Old,1
379,45.2973,58.5577,45.2943,58.5578,Old,1
380,45.2330,58.4530,45.2357,58.4525,Old,1
381,45.2718,58.0955,45.2702,58.0992,Old,1
382,45.3060,57.9307,45.3085,57.9277,Old,1
383,45.4022,58.5320,45.3990,58.5328,Old,1
384,45.4477,58.3962,45.4505,58.3958,Old,1
388,45.6325,58.5327,45.6332,58.5363,Old,1
390,45.5125,58.1793,45.5100,58.1822,Old,1
391,45.6033,58.0457,45.6000,58.0447,Old,1
394,45.7172,58.2825,45.7190,58.2853,Old,1
401,44.7197,57.3878,44.7223,57.3873,New 2010,1
402,44.6423,57.2545,44.6400,57.2523,New 2010,1
403,45.1162,57.5403,45.1183,57.6095,New 2010- Moved 2011,1
404,45.2333,57.7033,45.2313,57.7007,New 2010- Moved 2011,1
405,44.7837,57.3600,44.8145,57.3587,New 2010,1
406,44.0610,60.3725,44.0610,60.3688,New 2010,1
409,43.1065,65.4652,43.1075,65.4617,New 2010,1
410,43.1593,65.0645,43.1570,65.0643,New 2010,1
411,45.0043,57.8165,45.0063,57.8138,New 2011,1
412,44.6753,57.4642,44.6738,57.4610,New 2011,1
413,44.0992,60.4740,44.0992,60.4778,New 2011,1
414,44.3142,60.8048,44.3165,60.8027,New 2011,1
415,43.0367,65.5878,43.0372,65.5842,New 2011,1
500,44.2315,59.3633,44.2303,59.3602,Old,1
502,44.2200,58.2140,44.2170,58.2140,Old,1
503,44.3495,57.8935,44.3492,57.8977,Old,1
504,44.4023,57.8005,44.3995,57.8018,Old,1
506,45.0645,57.7037,45.0668,57.7013,New 06,1
508,45.8803,58.6155,45.8777,58.6135,Old,1
509,45.7292,59.8878,45.7262,59.8890,Old,1
510,45.7797,59.7067,45.7777,59.7092,Old,1
511,46.1500,58.9832,46.1505,58.9788,Old,1
513,44.3140,60.6313,44.3120,60.6345,Old,1
514,44.2633,60.0958,44.2625,60.0915,Old,1
518,43.4337,60.5868,43.4332,60.5828,Old,1
519,43.4003,60.9198,43.3978,60.9172,Old,1
521,43.7423,59.6960,43.7442,59.6930,New 06,1
522,43.3200,65.1248,43.3212,65.1213,Old,1
524,43.4963,64.7532,43.4955,64.7575,Old,1
527,43.7197,64.4833,43.7223,64.4837,New 06,1
528,44.3338,63.9323,44.3330,63.9362,Old,1
536,44.1022,61.3672,44.0993,61.3678,Old,1
540,45.6992,59.9988,45.6962,59.9997,Old,1
541,47.0055,59.9275,47.0032,59.9253,New 06,1
543,46.8637,59.7873,46.8620,59.7843,New 06,1
601,44.5073,60.0338,44.5100,60.0360,New 08,1
602,44.4750,60.2133,44.4722,60.2138,New 08,1
603,44.6532,60.3240,44.6560,60.3247,New 08,1
604,44.2708,58.5108,44.2717,58.5073,New 08,1
605,45.4797,60.0972,45.4802,60.0933,New 08,1
606,45.6963,59.6223,45.6937,59.6235,New 08,1
607,44.7753,59.1385,44.7770,59.1410,New 08,1
608,45.1808,58.2228,45.1780,58.2240,New 08,1
609,46.3615,59.0698,46.3595,59.0672,New 08,1
611,46.3133,59.1913,46.3150,59.1880,New 08,1
612,46.5597,60.1518,46.5562,60.1477,New 08,1
613,46.4813,60.0280,46.4840,60.0292,New 08,1
614,47.2390,60.2557,47.2420,60.2557,New 08,1
615,47.1405,60.3122,47.1427,60.3105,New 08,1
618,44.3120,63.4018,44.3130,63.3987,New 08,1
623,43.9777,64.2697,43.9750,64.2688,New 08,1
625,43.9938,58.8180,43.9915,58.8323,New 08,1
629,43.8510,59.1360,43.8543,59.1373,New 08,1
650,43.7512,60.0075,43.7532,60.0053,New 2009,1
651,44.4958,58.3233,44.4985,58.3242,New 2009,1
652,44.8987,58.6262,44.9008,58.6288,New 2009,1
653,43.9155,59.2432,43.9155,59.2397,Moved 2010,1
654,44.0617,60.1912,44.0622,60.1870,New 2009,1
655,44.7332,57.3142,44.7192,57.3158,New 2009,1
701,44.3893,63.8498,44.3865,63.8488,New 07,1
702,45.4907,60.5598,45.4883,60.5612,New 07,1
703,46.4210,60.2610,46.4228,60.2642,New 07,1
705,44.0670,59.7738,44.0648,59.7765,New 07,1
706,44.1668,59.7827,44.1673,59.7868,New 07,1
707,44.1327,59.8360,44.1317,59.8397,New 07,1
801,46.1068,59.2487,46.1040,59.2468,Old,1
802,44.9533,57.9040,44.9515,57.9068,New 06,1
808,44.5677,58.5388,44.5667,58.5425,Old,1
809,44.4755,58.5672,44.4757,58.5630,Old,1
810,44.5793,58.6688,44.5807,58.6725,Old,1
811,44.4778,58.7943,44.4803,58.7922,Old,1
812,44.2247,58.6668,44.2245,58.8373,Old,1
813,44.0787,58.7782,44.0785,58.7740,Old,1
814,44.3525,58.8695,44.3530,58.8655,Old,1
815,44.1793,58.9672,44.1817,58.9697,Old,1
816,44.1198,58.9005,44.1213,58.9042,Old,1
817,43.5432,60.5155,43.5417,60.5118,Old,1
818,43.4883,60.6142,43.4890,60.6103,Old,1
819,43.4605,60.7135,43.4597,60.7097,Old,1
822,43.4832,60.8590,43.4828,60.8550,Old,1
824,43.4768,61.0828,43.4765,61.0793,Old,1
832,43.6013,64.5895,43.6038,64.5902,Old,1
833,43.6018,64.7537,43.6025,64.7495,Old,1
835,43.3698,65.0220,43.3723,65.0200,Old,1
836,43.2495,64.9108,43.2498,64.9068,Old,1
837,43.2920,65.0563,43.2930,65.0522,Old,1
838,43.2158,65.2913,43.2162,65.2875,Old,1
901,44.4092,57.4250,44.4078,57.4250,Old,1
903,44.4480,57.5827,44.4487,57.5870,Old,1
905,44.3687,57.7325,44.3692,57.7363,Old,1
908,44.3233,57.9768,44.3258,57.9753,New 07,1
910,44.2672,58.0683,44.2658,58.0718,Old,1
911,44.3728,58.2827,44.3752,58.2848,Old,1
913,44.2543,58.3920,44.2515,58.3938,Old,1
914,44.1475,58.4690,44.1505,58.4682,Old,1
915,44.2047,58.5582,44.2077,58.5580,Old,1
916,44.1158,58.6463,44.1128,58.6455,Old,1
917,43.8498,59.2998,43.8472,59.3003,Old,1
918,43.7053,59.2067,43.7037,59.2097,Old,1
919,43.8250,59.4050,43.8253,59.4012,New 06,1
920,43.6995,59.4550,43.6998,59.4592,Old,1
921,43.7872,59.5437,43.7868,59.5398,New 06,1
922,43.6483,59.5395,43.6480,59.5435,Old,1
923,43.6895,59.7833,43.6918,59.7858,Old,1
924,43.6332,59.7147,43.6317,59.7180,Old,1
925,43.6287,59.9033,43.6312,59.9062,Old,1
926,43.6903,59.8937,43.6877,59.8917,New 06,1
927,43.6712,60.0490,43.6730,60.0460,New 06,1
928,43.6245,60.0578,43.6235,60.0613,Old,1
929,43.5153,60.1195,43.5175,60.1172,Update 2011,1
930,43.6543,60.3265,43.6570,60.3253,New 06,1
931,43.6345,60.1860,43.6345,60.1817,Old,1
933,43.5343,60.3888,43.5347,60.3848,Old,1
934,43.4772,60.4035,43.4752,60.4068,Old,1
16,46.2673,59.0820,46.2678,59.0853,Bad 05,3
17,46.2112,59.1932,46.2083,59.1940,Bad 09,3
18,46.1288,59.1470,46.1280,59.1428,Bad 2008,3
19,46.6922,59.9637,46.6905,59.9668,Bad 06,3
23,46.4027,59.4185,46.4055,59.4165,Bad 05,3
25,46.3122,59.7592,46.3102,59.7558,Bad 09,3
26,46.2663,59.5048,46.2633,59.5053,Bad 08,3
28,46.2935,59.3283,46.2940,59.3243,Bad 06,3
33,45.8748,59.0050,45.8728,59.0078,Bad 2010,3
39,45.5875,58.7723,45.5873,58.7762,Bad 06,3
40,45.4717,58.7045,45.4688,58.7043,Bad 08,3
43,45.2573,59.0135,45.2577,59.0010,Bad 2008,3
44,45.2532,59.2143,45.2525,59.2180,Bad 06,3
47,45.6118,59.1253,45.6135,59.1218,Bad 07,3
49,45.6732,59.4457,45.6717,59.4457,Bad 2008,3
50,45.7533,59.2787,45.7562,59.2788,Bad 2010,3
54,45.3530,59.4540,45.3553,59.4532,Bad 2010,3
55,45.2440,59.3847,45.2467,59.3833,Bad 2011,3
56,45.0695,59.3507,45.0668,59.3507,Bad 07,3
57,45.0148,59.2140,45.0127,59.2165,Bad 2011,3
58,45.1265,59.1038,45.1247,59.1010,Bad 09,3
60,45.2535,58.7940,45.2535,58.7977,Bad 2010,3
62,45.0315,58.9020,45.0288,58.9037,Bad 09,3
78,45.5282,59.6030,45.5288,59.6067,Bad 09,3
79,45.6332,59.7273,45.6357,59.7263,Bad 2010,3
80,45.5062,59.9490,45.5048,59.9452,Bad 09,3
82,45.3293,60.0107,45.3320,60.0102,Bad 2010,3
83,45.2703,60.0747,45.2730,60.0735,Bad 07,3
87,45.5310,60.3792,45.5293,60.3763,Bad 05,3
96,45.2298,60.3215,45.2298,60.3192,Bad 2011,3
99,45.1462,60.5815,45.1450,60.5780,Bad 06,3
100,45.0893,60.7670,45.0912,60.7668,Bad 06,3
101,45.0723,60.9968,45.0738,60.9993,Bad 09,3
102,45.1277,61.1820,45.1253,61.1800,Bad 05,3
106,45.3895,61.1110,45.3913,61.1078,Bad 05,3
107,45.3968,60.8690,45.3958,60.8653,Bad 05,3
111,45.4245,60.5767,45.4228,60.5742,Bad 05,3
115,45.2023,60.7377,45.2052,60.7372,Bad 09,3
117,44.9077,60.1392,44.9103,60.1380,Bad 2011,3
129,44.2078,60.2660,44.2078,60.2622,Bad 2008,3
140,44.6025,61.0952,44.6048,61.0933,Bad 09,3
141,44.6588,60.9473,44.6575,60.9342,Bad 2008,3
159,44.9780,61.1205,44.9760,61.1228,Bad 05,3
160,47.1648,60.2605,47.1635,60.2573,Bad 2010,3
169,46.9087,60.3542,46.9117,60.3535,Bad 06,3
170,46.8557,60.2373,46.8578,60.2388,Bad 2010,3
173,46.8828,59.8843,46.9018,59.8868,Bad 2011,3
175,46.8127,59.9427,46.8120,59.9437,Bad 05,3
179,46.6580,59.7743,46.6553,59.7743,Bad 06,3
180,46.7152,59.7632,46.7178,59.7628,Bad 08,3
181,46.7548,59.9198,46.7568,59.9223,Bad 2008,3
182,46.6505,59.8682,46.6533,59.8682,Bad 06,3
204,46.3895,59.1295,46.3912,59.1325,Bad 06,3
205,46.2202,58.9033,46.2185,58.8997,Bad 2010,3
206,46.0617,58.6183,46.0627,58.6217,Bad 06,3
209,45.1150,57.7780,45.1132,57.7753,Bad 2010,3
212,44.9342,61.6227,44.9313,61.6208,Bad 2010,3
213,44.8753,61.7010,44.8743,61.7052,Bad 2010,3
215,44.7218,61.8842,44.7197,61.8853,Bad 09,3
220,44.6590,62.0912,44.6590,62.0877,Bad 2010,3
225,44.6755,62.2418,44.6752,62.2463,Bad 05,3
226,44.6412,62.3122,44.6412,62.3160,Bad 06,3
230,44.6992,62.3873,44.6988,62.3913,Bad 06,3
240,44.5190,62.6972,44.5183,62.6933,Bad 05,3
241,44.4295,62.7545,44.4322,62.7538,Bad 2008,3
258,44.4203,63.0353,44.4222,63.0498,Bad 06,3
272,44.1938,64.0122,44.1923,64.0093,Bad 2011,3
273,44.0953,63.8930,44.0947,63.8893,Bad 2008,3
277,44.1323,64.0428,44.1348,64.0415,Bad 09,3
281,43.8868,64.2365,43.8868,64.2365,Bad 06,3
303,44.1722,59.5417,44.1747,59.5433,Bad 09,3
326,44.7533,61.5665,44.7558,61.5692,Bad 2010,3
328,44.8102,61.7892,44.8100,61.7932,Bad 09,3
331,45.0072,61.3850,45.0080,61.3892,Bad 2010,3
345,44.7620,59.3337,44.7617,59.3375,Bad 09,3
349,44.6520,59.1625,44.6493,59.1633,Bad 2010,3
365,44.7282,58.6462,44.7178,58.6452,Bad 05,3
377,45.0395,58.2120,45.0368,58.2108,Bad 06,3
385,45.3445,58.2500,45.3462,58.2467,Bad 2011,3
386,45.4838,58.1712,45.4848,58.1452,Bad 07,3
387,45.4313,57.9643,45.4283,57.9635,Bad 2008,3
389,45.5520,58.3752,45.5667,58.3783,Bad 05,3
392,45.7365,58.5642,45.7378,58.5608,Bad 2010,3
393,45.7598,58.4307,45.7622,58.4280,Bad 08,3
501,43.9393,58.7177,43.9403,58.7140,Bad 07,3
505,44.3825,57.5725,44.3815,57.5763,Bad 09,3
507,45.8837,58.7777,45.8815,58.7748,Bad 2010,3
512,46.3550,59.3653,46.3572,59.3683,Bad 2010,3
526,43.6943,64.5695,43.6953,64.5667,Bad 2010,3
529,44.2453,63.6677,44.2467,63.6710,Bad 07,3
531,44.5732,62.7297,44.5710,62.7273,Bad 09,3
532,44.6010,62.4353,44.5980,62.4350,Bad 05,3
534,44.6125,62.1185,44.6138,62.1217,Using 2009 Positions,3
535,44.7412,61.3312,44.7438,61.3327,Bad 06,3
537,44.1377,61.1635,44.1350,61.1643,Bad 06,3
539,44.6997,61.9533,44.6967,61.9530,Bad 05,3
542,44.3027,63.2323,44.3022,63.2355,Bad 05,3
600,44.0295,60.0380,44.0298,60.0340,Using 2009 Positions,3
628,43.7905,59.1410,43.7910,59.1447,Using 2009 Positions,3
704,46.3643,59.7815,46.3672,59.7812,Bad 07,3
800,46.5058,59.8397,46.5058,59.8357,Bad 2008,3
831,43.8710,64.4652,43.8735,64.4648,Bad 2010,3
834,43.4787,64.8868,43.4803,64.8835,Bad 07,3
900,44.5603,57.3630,44.5620,57.3660,Bad 07,3
932,43.4678,60.2378,43.4660,60.2407,Bad 2010,3
720,43.1470,65.5320,,,New 2012,2
721,43.1370,65.2540,,,New 2012,2
722,44.3680,63.4860,,,New 2012,2
723,44.3940,63.2960,,,New 2012,2
724,43.4090,61.0220,,,New 2012,2
725,44.9730,58.1510,,,New 2012,2
726,44.9375,58.1814,,,New 2012,2
,,,,,,
