"name.common.worktable"|"spec"|"Exploited"|"general.taxonomic.group"|"Specific.taxonomic.group"|"habitat.horizontal"|"habitat.vertical"|"habitat.specific"|"depth"|"temperature"|"diet"|"mat.age.yr"|"mat.len.cm"|"size.max.len.cm"|"size.max.mass.kg"|"age.max.yr"|"fecundity.eggs.per.female"|"observations.of.interest"|"Needs.more.work"|"Notes"|"end"
"Northern Puffer"|746||"fish"|"flefish/pufferfish"||"demersal"|"brackish;marine"|"10;?"|"temperate"||||36|||||||"XXXXX"
"Puffer"|827||"fish"|"flefish/pufferfish"||||||||||||||||"XXXXX"
"Deepbody Boarfish"|384||"fish"|"dories"||||||||||||||||"XXXXX"
"Shortspine Boarfish"|366||"fish"|"dories"||||||||||||||||"XXXXX"
"Red Dory"|595||"fish"|"dories"||||||||||||||||"XXXXX"
"Grammicolepid, Thorny Tinselfish"|777|"no"|"fish"|"dories"|"Georges Bank"|"bathypelagic"|"deep midwater, or near bottom"|"400;1026"|||||64|||||||"XXXXX"
"Xenolepidichthys Dalgleishi, Spotted Tinselfish"|866|"no"|"fish"|"dories"||"benthopelagic"||"200;885"|||||15|||||||"XXXXX"
"Black Oreo"|1050||"fish"|"dories"||||||||||||||||"XXXXX"
"American John Dory"|704||"fish"|"dories"||||||||||||||||"XXXXX"
"Zenion Hololepis"|577||"fish"|"dories"||||||||||||||||"XXXXX"
"Blueback Herring"|165|"yes"|"fish"|"Pelagic-herring"|"inshore;anadromous;rivers;marine"|"pelagic"|"pelagic:diurnal vertical migrations"|"5;?"|"subtropical"|"zooplanktivore:copepods;amphipods;mysids"|"2;4"|28|40|0.2|8|"45,800;349,700"||||"XXXXX"
"Hickory Shad"|264|"no"|"fish"|"Pelagic-herring"|"anadromous"|"pelagic"|||"temperate"|"piscivore/benthivore:small fish;crabs;crustaceans;squid;fish eggs"|||60||||"Generally south of Maine."|||"XXXXX"
"Alewife"|62|"yes"|"fish"|"Pelagic-herring"|"inshore;anadromous;rivers;marine"|"pelagic"|"pelagic:diurnal vertical migrations"|"5;145, 56;110 most often"|"3;17"|"zooplanktivore/piscivore:amphipods;copepods;mysids;fish eggs;small fish"|"2;4"|29|40|0.2|10|"48,000;360,000"||||"XXXXX"
"Shad, American Shad"|61|"yes"|"fish"|"Pelagic-herring"|"inshore;shelf;anadromous"|"pelagic"|"pelagic:diurnal vertical migrations"|"0;250"|"3;18"|"zooplanktivore/piscivore:copepods;mysids;small fish occasionally"|"2;5"|40|76|5.5|11|"125,000;600,000"|"Highly migratory."|||"XXXXX"
"Alosa"|281||"fish"|"Pelagic-herring"||||||||||||||||"XXXXX"
"Menhaden(Atlantic)"|164|"no"|"fish"|"Pelagic-herring"|"inshore;shelf"|"pelagic"|"euryhaline;estuaries;St Margaret's Bay"|"0;50"|"subtropical"|"planktivore:diatoms;copepods;annelids;detritus"|||47|1.674|12|38,000|"Migratory. Form large, compact schools. ImportantUS commercial fish."|||"XXXXX"
"Herring(Atlantic)"|60|"yes"|"fish"|"Pelagic-herring"|"inshore;shelf"|"benthopelagic"|"pelagic:diurnal vertical migrations"|"0;200"|"1;18"|"zooplanktivore:euphausiids;copepods;fish eggs;pteropods;mollusc larvae;fish larvae"|"2.9(males);3(females)"|"25.3(males);25.4(females)"|45|1.05|11|"12,000;240,000"|"Important prey fish."|||"XXXXX"
"(American) Gizzard Shad"|262|"no"|"fish"|"Pelagic-herring"||"pelagic"||||||||||||||"XXXXX"
"Etrumeus Sadina, Round Herring"|834||"fish"|"Pelagic-herring"|||||||||||||"Same as E. teres"|2||"XXXXX"
"Round (red-eye) Herring"|166|"no"|"fish"|"Pelagic-herring"|"inshore;shelf"|"pelagic"||"0;150"|"subtropical"|"zooplanktivore:euphausiids;copepods"|||33||||"When in NS, found in Bay of Fundy and southern NS.  Usually in large schools."|2||"XXXXX"
"Dwarf Herring"|843|"no"|"fish"|"Pelagic-herring"||"pelagic"||||||||||||||"XXXXX"
"Atlantic Thread Herring"|260|"no"|"fish"|"Pelagic-herring"||"pelagic"||||||||||||||"XXXXX"
"Herring"|336||"fish"|"Pelagic-herring"||"pelagic"||||||||||||||"XXXXX"
"Herring/Capelin Like"|290||"fish"|"Pelagic-herring"||"pelagic"||||||||||||||"XXXXX"
"(Broad) Striped Anchovy"|58|"no"|"fish"|"Pelagic-herring"|||||||||||||"Rarely stray to Maine and Atlantic Canada"|||"XXXXX"
"Anchoa Lamprotaenia"|836||"fish"|"Pelagic-herring"|"inshore"|"pelagic"||"0;50"|||||12|||||||"XXXXX"
"Bay Anchovy"|254||"fish"|"Pelagic-herring"||||||||||||||||"XXXXX"
"Silver Anchovy"|9|"no"|"fish"|"Pelagic-herring"||"pelagic"||||||||||||||"XXXXX"
"Anchovies"|34|"no"|"fish"|"Pelagic-herring"||"pelagic"||||||||||||||"XXXXX"
"Shortnose Lancetfish"|731||"fish"|"Lancetfish"|"circumglobal"|"pelagic"||"640;1591"|"temperate"|"zooplanktivore/piscivore:euphausiids;fish"|||96|||||||"XXXXX"
"Longnose Lancetfish"|710|"no"|"fish"|"Lancetfish"|"circumglobal"|"pelagic"||"0;1828"|"20.6;28.3"|"piscivore/cannabalistic/benthivore:alepisaurids;paralepids;gempylids;sternoptychids;bramids;tunicate;polychaetes;squid"|||215|4.5|||"Nocturnal. Preyed on by sharks;tuna;alepisaurids;swordfish"|||"XXXXX"
"Omosudis Lowei"|729||"fish"|"Lancetfish"||||||||||||||||"XXXXX"
"Daggertooth"|732||"fish"|"Lancetfish"||||||||||||||||"XXXXX"
"Short-Nose Greeneye"|156||"fish"|"Lancetfish"|"shelf;upper slope"|"bathydemersal"|"mud;clay"|"50;1000"|"5;13"|"benthivore/planktivore:benthic invertebrates;euphausiids;pelagic decapods;mysids"|||40||||"Hermaphroditic. Young are pelagic."|||"XXXXX"
"Longnose Greeneye"|149||"fish"|"Lancetfish"||"demersal"||"?;479"|"subtropical"|"piscivore"|||25|||||||"XXXXX"
"Greeneyes"|593||"fish"|"Lancetfish"||||||||||||||||"XXXXX"
"Coccorella Atlantica"|533||"fish"|"Lancetfish"||||||||||||||||"XXXXX"
"Evermannella Balbo"|383|"no"|"fish"|"Lancetfish"|"oceanic"|"mesopelagic"||"100;1000 (mostly 400;1000)"||"piscivore:midwater fishes"|||16.9|||||||"XXXXX"
"Evermannella Indica"|488|"no"|"fish"|"Lancetfish"||"pelagic"||"500;800"|||||11.9|||||||"XXXXX"
"Evermannella"|733||"fish"|"Lancetfish"||||||||||||||||"XXXXX"
"Notch Feelerfish/Spiderfish"|148|"no"|"fish"|"Lancetfish"|"slope"|"bathydemersal"||"260;2800"|"4;12"|"mysids;benthopelagic copepods"|||20.5||||"Hermaphroditic"|||"XXXXX"
"Bathypterois Quadrifilis"|863||"fish"|"Lancetfish"||"bathydemersal"||"402;1408"|||||18|||4500|"Hermaphroditic"|||"XXXXX"
"Bathypterois Grallator, Tripodfish"|1038||"fish"|"Lancetfish"|"slope"|"bathydemersal"|"also continental rise and oceanic ridges"|"878;3492"||"planktivore:nektonic copepods;small planktonic crustaceans"|||36.8||||"Perches on substrate with the aid of specialized fin rays facing the current, hence the name"|||"XXXXX"
"Bathypterois Longipes, Abyssal Spiderfish"|1039||"fish"|"Lancetfish"|"abyssal"|"bathydemersal"||"2615;5610"|"0.4;4.5"|"planktivore:planktonic crustaceans"|||24.9||||"Hermaphroditic. Uses its specialized fin rays to elevate body into water column"|||"XXXXX"
"Bathypterois"|1037||"fish"|"Lancetfish"||||||||||||||||"XXXXX"
"Ahliesaurus Berryi"|517||"fish"|"Lancetfish"||||||||||||||||"XXXXX"
"Scopelosaurus Argenteus, Waryfish"|489||"fish"|"Lancetfish"|"slope"|"benthopelagic"||"100;600"|"subtropical"|"zooplanktivore"|||21.4|||||||"XXXXX"
"Scopelosaurus Lepidus"|588||"fish"|"Lancetfish"|"slope;oceanic"|"benthopelagic"||"70;800"||"zooplanktivore/piscivore:euphausiids;hyperiids;mesopelagic fishes"|||36.4||||"Age stratification with depth. Younger ones in shallower water."|||"XXXXX"
"Scopelosaurus Mauli"|850||"fish"|"Lancetfish"||"mesopelagic"||"deep"|"tropical;subtropical"||||11|||||||"XXXXX"
"Scopelosaurus Smithii"|492||"fish"|"Lancetfish"|"slope"|"benthopelagic"||"50;850"|"tropical"|"zooplanktivore"|||25||||"Age stratification with depth. Younger ones in shallower water."|||"XXXXX"
"Scopelosaurus"|572||"fish"|"Lancetfish"||||||||||||||||"XXXXX"
"Lestidiops Affinis, Barracudina"|553||"fish"|"Lancetfish"|"oceanic"|"bathypelagic"||"0;2000"|||||11.2||||"Older fish found deeper than juveniles"|||"XXXXX"
"Lestidiops Jayakari"|688|"no"|"fish"|"Lancetfish"||"bathypelagic"||"50;2000"|||||20||||"Older fish found deeper than juveniles"|||"XXXXX"
"Lestidiops"|487||"fish"|"Lancetfish"||||||||||||||||"XXXXX"
"Lestidium Atlanticum, Atlantic Barracudina"|666|"no"|"fish"|"Lancetfish"||"bathypelagic"||"50;1000"|||||25|||||||"XXXXX"
"Lestrolepis Intermedia"|483|"no"|"fish"|"Lancetfish"|"oceanic"|"bathypelagic"||"400;900"|||||25|||||||"XXXXX"
"Macroparalepis Affine"|479||"fish"|"Lancetfish"||"bathypelagic"||"0;2000"||"carnivorous"|||55||||"Older fish found deeper than juveniles. Adults generally below 400m"|||"XXXXX"
"Macroparalepis Nigra"|937||"fish"|"Lancetfish"||"bathypelagic"|||||||46.1||||"Found off Western Africa"|||"XXXXX"
"White Barracudina"|727||"fish"|"Lancetfish"|||||||||||||"Arctozenus risso"|2||"XXXXX"
"White Barracudina, Ribbon Barracudina"|712||"fish"|"Lancetfish"|"slope;oceanic"|"bathypelagic"|"oceanic banks"|"0;2200"|"tropical;temperate"|"fishes;shrimps"|||30||||"Arctozenus risso"|2||"XXXXX"
"Short Barracudina, Duckbill Barracudina"|711||"fish"|"Lancetfish"|"inshore;slope;oceanic"|"pelagic"||"0;2166"|"tropical;subtropical;temperate;polar"|"piscivore/?:small fish;shrimp"|||56||||"Magnisudis atlantica. Preyed on by sharks,tuna,whales. Most common North Atlantic Paralepis spp."|2||"XXXXX"
"Short Barracudina"|728||"fish"|"Lancetfish"||||||||||||||2||"XXXXX"
"Paralepis Brevirostris"|907||"fish"|"Lancetfish"||"pelagic"||"100;600"|"tropical"||||24.2|||||||"XXXXX"
"Paralepis Coregonoides, Sharpchin Barracudina"|674|"no"|"fish"|"Lancetfish"|"shelf"|"pelagic"||"50;1000"||"piscivore/planktivore:fishes;crustaceans;planktonic organisms"|||50||||"Preyed on by tuna, cod, lancetfish, Atlantic salmon, seals"|||"XXXXX"
"Paralepis Elongata"|484||"fish"|"Lancetfish"||"bathypelagic"||"?;3000"|||||21|||||||"XXXXX"
"Barracudina"|565||"fish"|"Lancetfish"||||||||||||||||"XXXXX"
"Duckbill Barracudina"|1054||"fish"|"Lancetfish"||||||||||||||2||"XXXXX"
"Stemonosudis Intermedia"|876||"fish"|"Lancetfish"||||||||||||||||"XXXXX"
"Sudis Hyalina"|691||"fish"|"Lancetfish"||||||||||||||||"XXXXX"
"Uncisudis Longirostris"|906||"fish"|"Lancetfish"||||||||||||||||"XXXXX"
"Barracudina"|713||"fish"|"Lancetfish"||||||||||||||||"XXXXX"
"Benthalbella Infans"|527||"fish"|"Lancetfish"||||||||||||||||"XXXXX"
"Scopelarchus Analis"|681||"fish"|"Lancetfish"||||||||||||||||"XXXXX"
"Scopelarchus Michaelsarsi"|570||"fish"|"Lancetfish"||||||||||||||||"XXXXX"
"Scopelarchidae"|1055||"fish"|"Lancetfish"||||||||||||||||"XXXXX"
"Bathysaurus Ferox"|814||"fish"|"Lancetfish"||||||||||||||||"XXXXX"
"Lizardfish"|833||"fish"|"Lancetfish"|"shelf"|"demersal"||"18;410"|"subtropical"||||25|||||||"XXXXX"
"Saurida Carribbea"|832||"fish"|"Lancetfish"||"demersal"||"6;460"|"tropical"||||18|||||||"XXXXX"
"Shortjaw Lizardfish"|807||"fish"|"Lancetfish"|||"sand;mud;reef-associated"|"25;550"|"tropical"||||45|0.5||||||"XXXXX"
"Red Lizardfish"|808||"fish"|"Lancetfish"||||||||||||||||"XXXXX"
"Synodus"|812||"fish"|"Lancetfish"||||||||||||||||"XXXXX"
"Snakefish"|801||"fish"|"Lancetfish"|"inshore;slope"|"demersal"|"sand;reef;estuaries"|"?;400"|"tropical"|"piscivore/benthivore:fish;crustaceans"|||40||7||"Burrows in the substrate leaving only eyes exposed."|||"XXXXX"
"Lizardfishes"|339||"fish"|"Lancetfish"||||||||||||||||"XXXXX"
"Bonefish"|175||"fish"|||||||||||||||||"XXXXX"
"Albula"|837||"fish"|||||||||||||||||"XXXXX"
"Halosauridae"|1009||"fish"|||||||||||||||||"XXXXX"
"Backfin Tapirfish"|615|"no"|"fish"||"slope"|||"350;840"|"3.78;4.84"|"detritus"||||||||||"XXXXX"
"Spiny Eel"|740|"no"|"fish"||"inshore;shelf;slope"|"demersal"||"128;3285, generally 250;1000"||"benthivore:anemones"|||122|||||||"XXXXX"
"Shortspine Tapirfish"|739||"fish"|||||||||||||||||"XXXXX"
"Tiluropsis"|491||"fish"|||||||||||||||||"XXXXX"
"Spiny Eels"|662||"fish"|||||||||||||||||"XXXXX"
"Notacanthiformes"|1026||"fish"|||||||||||||||||"XXXXX"
"Eels"|634||"fish"|"True eels"||||||||||||||||"XXXXX"
"European Eel"|651||"fish"|"True eels"||||||||||||||||"XXXXX"
"American Eel"|600|"yes"|"fish"|"True eels"|"inshore;catadromous"|"demersal"|"freshwater;marine"|"0;464"|"4;25"|"benthivore/piscivore:aquatic insect larvae, fish, other invertebrates"|||152|7.3|43|4,000,000||||"XXXXX"
"Eel"|648||"fish"|"True eels"||||||||||||||||"XXXXX"
"Chlopsis Bicolor"|481||"fish"|"True eels"|"shelf;upper slope"|"demersal"|"mud"|"80;365"|||||42|||||||"XXXXX"
"Chlopsis"|369||"fish"|"True eels"||||||||||||||||"XXXXX"
"Kaupichthys Hyoproroides"|482||"fish"|"True eels"||||||||||||||||"XXXXX"
"Bandtooth Conger"|579|"no"|"fish"|"True eels"|"shelf"||"mud;sand;reef associated"|"1;732"||"benthivore/piscivore:small fish;crustaceans;molluscs"|||35|||||||"XXXXX"
"Ariosoma"|430|"no"|"fish"|"True eels"||||||"benthivore/piscivore:small fish;crustaceans;molluscs"||||||||||"XXXXX"
"Conger Eel"|608|"no"|"fish"|"True eels"|"inshore;shelf"|"demersal"||"75;150:  1;477"||"benthivore/piscivore:herring;shrimp;crabs;molluscs"|||213|40||6,000,000||||"XXXXX"
"Conger"|431|"no"|"fish"|"True eels"||||||"benthivore/piscivore:small fish;crustaceans;molluscs"||||||||||"XXXXX"
"Hildebrandia"|432|"no"|"fish"|"True eels"||||||"benthivore/piscivore:small fish;crustaceans;molluscs"||||||||||"XXXXX"
"Nystactichthys"|433|"no"|"fish"|"True eels"||||||"benthivore/piscivore:small fish;crustaceans;molluscs"||||||||||"XXXXX"
"Margintail Conger"|829|"no"|"fish"|"True eels"|"shelf"|"demersal"|"mud;sand;reef associated"|"?;75"||"benthivore/piscivore:small fish;crustaceans;molluscs"|||51|||||||"XXXXX"
"Paraconger"|434|"no"|"fish"|"True eels"||||||"benthivore/piscivore:small fish;crustaceans;molluscs"||||||||||"XXXXX"
"Paraxenomystax"|486|"no"|"fish"|"True eels"||||||"benthivore/piscivore:small fish;crustaceans;molluscs"|||||||"Synonym: Xenomastyx"|||"XXXXX"
"Pseudophichthus Splendens"|435|"no"|"fish"|"True eels"||"demersal"|"mud"|"123;1647"|"tropical"|"benthivore/piscivore:small fish;crustaceans;molluscs"|||38.7||||"Occasionally strays to Atlantic Canada"|||"XXXXX"
"Rhechias"|436|"no"|"fish"|"True eels"||||||"benthivore/piscivore:small fish;crustaceans;molluscs"||||||||||"XXXXX"
"Uroconger Syringinus, Threadtail Conger"|438|"no"|"fish"|"True eels"|"shelf"|"demersal"||"44;384"|"subtropical"|"benthivore/piscivore:small fish;crustaceans;molluscs"|||38||||"Occasionally strays to Atlantic Canada"|||"XXXXX"
"Uroconger"|437|"no"|"fish"|"True eels"||||||"benthivore/piscivore:small fish;crustaceans;molluscs"||||||||||"XXXXX"
"Conger Eels"|429||"fish"|"True eels"||||||||||||||||"XXXXX"
"Narrownecked Oceanic Eel (Neckeel)"|612|"no"|"fish"|"True eels"|||"Gulf stream"|||||||||||||"XXXXX"
"Duckbill Oceanic Eel"|607||"fish"|"True eels"|"slope"|"mesopelagic"|||"temperate;tropical"|||||||||||"XXXXX"
"Morginua Edwardsi"|471||"fish"|"spaghetti eels"||||||||||||||4|"No record of this Genus"|"XXXXX"
"Neoconger Mucronatus"|472|"no"|"fish"|"True eels"|||||"tropical"||||||||"Larvae occasionally stray to Atlantic Canada"|||"XXXXX"
"Neoconger"|567||"fish"|"True eels"||||||||||||||||"XXXXX"
"Spaghetti eels/Worm eels"|470||"fish"|"spaghetti eels"|||||||||"15;140"|||||||"XXXXX"
"Muraenesocidae"|485||"fish"|"True eels"||||||||||||||||"XXXXX"
"Pygmy Moray"|426|"no"|"fish"|"True eels"|||"reef associated"|"0;180"|"tropical"||||20||||"Anarchias similis.  Extremely rare in western North America"|||"XXXXX"
"Green Moray"|606|"no"|"fish"|"True eels"|||||"tropical"||||||||"Occasionally strays to Atlantic Canada"|||"XXXXX"
"Gymnothorax"|427||"fish"|"True eels"||||||||||||||||"XXXXX"
"Moray Eels"|425||"fish"|"True eels"||||||||||||||||"XXXXX"
"Hoplunnis"|477||"fish"|"True eels"||||||||||||||||"XXXXX"
"Avocet snipe eel"|913||"fish"|"True eels"||||||||||||||||"XXXXX"
"Eels (Snipe)"|463||"fish"|"True eels"||||||||||||||||"XXXXX"
"Nemichthys Curvirostris"|562||"fish"|"True eels"||"bathypelagic"||"0;2000"||"crustaceans"|||143|||||||"XXXXX"
"Snipe Eel"|604|"no"|"fish"|"True eels"|"shelf;slope"|"bathypelagic"||"91;3656 (typically below 400)"|"tropical;temperate"|"crustaceans"|||130||||"Preyed on by cod;swordfish"|||"XXXXX"
"Nemichthys"|464||"fish"|"True eels"||||||||||||||||"XXXXX"
"Facciolella"|659||"fish"|"True eels"||||||||||||||||"XXXXX"
"Nettastoma"|476||"fish"|"True eels"||||||||||||||||"XXXXX"
"Nettastomid Eel"|1019||"fish"|"True eels"||||||||||||||||"XXXXX"
"Venefica Procera"|1025||"fish"|"True eels"||||||||||||||||"XXXXX"
"Nettastomatidae"|475||"fish"|"True eels"||||||||||||||||"XXXXX"
"Key worm eel"|441|"no"|"fish"|"True eels"|"shelf"|||||||||||||||"XXXXX"
"Academy Eel"|442|"no"|"fish"|"True eels"|||||||||||||"Larvae occasionally stray to Atlantic Canada"|||"XXXXX"
"Finless Eel"|443||"fish"|"True eels"||||||||||||||||"XXXXX"
"Bascanichthys Bascanium"|444||"fish"|"True eels"||||||||||||||||"XXXXX"
"Callechelys Muraena, Blotched Snake Eel"|446|"no"|"fish"|"True eels"|"shelf"||||||||||||"Larvae occasionally stray to Atlantic Canada"|||"XXXXX"
"Callechelys"|445||"fish"|"True eels"||||||||||||||||"XXXXX"
"Echiophis"|447||"fish"|"True eels"||||||||||||||||"XXXXX"
"Gordiichthys Leibyi, Sooty Eel"|838|"no"|"fish"|"True eels"|||||||||||||"Larvae occasionally stray to Atlantic Canada"|||"XXXXX"
"Letharchus Aliculatus"|839||"fish"|"True eels"||||||||||||||||"XXXXX"
"Myrophis Platyrhynchus, Broadnose worm eel"|448||"fish"|"True eels"||"demersal"|"tidal creeks;protected bays;sometimes brackish"||"tropical"||||21|||||||"XXXXX"
"Myrophis Punctatus, Speckled worm eel "|449||"fish"|"True eels"|||"sea grass beds;from bays to offshore reefs"|"?;20"|"tropical"||||35.3||||"Spawn in open water"|||"XXXXX"
"Snake Eel, Margined Snake Eel"|609||"fish"|"True eels"||"demersal"||"36;1350"|"subtropical"||||46.7|||||||"XXXXX"
"Shrimp Eel"|451||"fish"|"True eels"||"demersal"|"soft bottom;bays through to offshore"||"tropical"||||91.4|||||||"XXXXX"
"Palespotted Eel"|452|"no"|"fish"|"True eels"|"shelf"||||||||||||"Adults occur south from North Carolina. Larvae found on Scotian Shelf."|||"XXXXX"
"Ophichthus Puncticeps, Palespotted Eel"|499||"fish"|"True eels"|"shelf"|"demersal"||"0;150"|"tropical"||||81||||"Found mostly around South America"|||"XXXXX"
"Ophichthus"|450||"fish"|"True eels"||||||||||||||||"XXXXX"
"Snake Eels"|440||"fish"|"True eels"||||||||||||||||"XXXXX"
"Stout Sawpalate, Bean's Sawtoothed Eel"|613|"no"|"fish"|"True eels"|"shelf"|"bathypelagic"|"pelagic:diurnal vertical migrations"|"475;1554 near Grand Bank"||"zooplanktivore/piscivore:shrimp;euphausiids;fish;crustaceans"|||78|||||||"XXXXX"
"Serrivomer Brevidentatus, Black Sawtoothed Eel"|638|"no"|"fish"|"True eels"||"bathypelagic"||"150;6000"|||||60|||||||"XXXXX"
"Serrivomer"|656||"fish"|"True eels"||||||||||||||||"XXXXX"
"Dysomma"|459||"fish"|"True eels"||||||||||||||||"XXXXX"
"Snubnose Slime Eel"|601|"no"|"fish"|"True eels"|"slope;slopes of offshore banks"|"bathydemersal"||"136;2620"|"4;9"|"piscivore:dead fish;parasitizes halibut"|||61|||||||"XXXXX"
"Gray's Cutthroat Eel, Slatjaw Cutthroat Eel"|602||"fish"|"True eels"|"slope"|"demersal"||"238;3656"|"1.4;?"||||74|||||||"XXXXX"
"Eels"|455||"fish"|"True eels"||||||||||||||||"XXXXX"
"Synaphobranchinae"|456||"fish"|"True eels"||||||||||||||||"XXXXX"
"Simenchelyinae"|457||"fish"|"True eels"||||||||||||||||"XXXXX"
"Dysomminae"|458||"fish"|"True eels"||||||||||||||||"XXXXX"
"Xenocongridae"|480||"fish"|"True eels"||||||||||||||||"XXXXX"
"Ladyfish"|349||"fish"|||||||||||||||||"XXXXX"
"Tarpon"|167||"fish"|||||||||||||||||"XXXXX"
"Aldrovandia Phalacra"|865||"fish"|||"bathydemersal"|"bathyal to abyssal depths"|"500;2300"||"amphipods;mysids;copepods;polychaetes"|||50|||||||"XXXXX"
"Halosauropsis Macrochir"|1028||"fish"||"slope;abyssal"|"bathydemersal"||"1100;3300"|"2;4"|"benthivore:polychaetes;crustaceans;echinoderms;echiurids"|||90||||"Hovers above or rests on bottom"|||"XXXXX"
"Halosauropsis Marcrochis"|1011||"fish"|||||||||||||||4|"No record of this species."|"XXXXX"
"Halosauropsis Spp."|1010||"fish"|||||||||||||||||"XXXXX"
"Halosauropsis"|1027||"fish"|||||||||||||||||"XXXXX"
"Halosaurus"|490||"fish"|||||||||||||||||"XXXXX"
"Aldrovandia Sp"|1029||"fish"|||||||||||||||||"XXXXX"
"Gilbert's halosaurid fish "|1030||"fish"|||||||||||||||||"XXXXX"
"Pelican Gulper/ Pelican Eel"|614|"no"|"fish"|||||"711;2682"||"planktivore/piscivore"|||61|||||||"XXXXX"
"Ribbonfish (Suborder Trachipteroidei)"|893||"fish"|||||||||||||||||"XXXXX"
"Ribbonfishes"|892||"fish"|||||||||||||||||"XXXXX"
"Lampriformes"|891||"fish"|||||||||||||||||"XXXXX"
"Opah"|778||"fish"|"moonfish"||||||||||||||||"XXXXX"
"Lophotus Lacepedei"|555||"fish"|"moonfish"||||||||||||||||"XXXXX"
"Regalecus Glesne"|355||"fish"|"moonfish"||||||||||||||||"XXXXX"
"Stylephorus Chordatus"|575||"fish"|"moonfish"||||||||||||||||"XXXXX"
"Trachipterus Trachipterus, Ribbon fish"|911||"fish"|"moonfish"||||||||||||||||"XXXXX"
"Zu Cristatus"|886||"fish"|"moonfish"||||||||||||||||"XXXXX"
"Goldfish"|851||"fish"|||||||||||||||||"XXXXX"
"Chrosomus Eos, Northern Redbelly Dace"|852||"fish"|||||||||||||||||"XXXXX"
"Chrosomus Neogaeus"|853||"fish"|||||||||||||||||"XXXXX"
"Chub"|854||"fish"|||||||||||||||||"XXXXX"
"Notemigonus Crysoleucas"|856||"fish"|||||||||||||||||"XXXXX"
"Synodontis"|990||"fish"|"Catfish"||||||||||||||||"XXXXX"
"Toad Fish, Oyster Toadfish"|510||"fish"|"toadfish"|"inshore"|"brackish;benthic ambush predator"|"rock;reefs;wrecks"||"subtropical"||||43.2|2.23|||"Tolerant of polluted water and will live among litter."|||"XXXXX"
"Phycinae"|57||"fish"|"Gadoid"||||||||||||||||"XXXXX"
"Bregmaceros Atlanticus"|365||"fish"|"Gadoid"||||||||||||||||"XXXXX"
"Bregmaceros Macclellandi"|831||"fish"|"Gadoid"||||||||||||||||"XXXXX"
"Bregmaceros"|690||"fish"|"Gadoid"||||||||||||||||"XXXXX"
"Arctic Cod, Polar Cod"|110|"yes"|"fish"|"Gadoid"|"inshore"|"pelagic"|"polar"|"prefer 100;300: can be 0;900+"|" -0.7 to 3.6 but up to 7"|"zooplanktivore:copepods;amphipods;euphausiids;mysids;fish"|"3?"||30||7|"9,000;30,000"|"Competes with capelin.  Movement offshore-inshore coincides with spawning and ice.  Preyed on by marine mammals, birds, and fish.  Cannabilistic."|||"XXXXX"
"Atlantic Cod"|10|"yes"|"fish"|"Gadoid"|"inshore;shelf"|"benthopelagic"|"variable"|"0;600"|"2;8,   -0.5;10 overall"|"benthivore/piscivore: herring;redfish;capelin;sand lance"|2.1|41|200|95.9|29|"200,000;12,000,000"|"Preyed on by older cod, squid, pollock, seals. Young cod compete with silver hake for food."|||"XXXXX"
"Greenland Cod"|118|"yes"|"fish"|"Gadoid"|"inshore"|"demersal"||"0;200"|"temperate;polar"|"benthivore/piscivore:capelin;polar cod;smaller Greenland cod;Greenland halibut;amphipods;shrimp;crabs;molluscs;polychaetes"|"3;4"||77|4|12|"1,000,000;2,000,000"|"Preyed on by seals.  Non schooling. Probably competes with Gadus morhua"|||"XXXXX"
"Haddock"|11|"yes"|"fish"|"Gadoid"|"inshore to shelf edge"|"demersal"|"hard bottom;smooth bottom;sand;gravel"|"10;450: 80;200(most common)"|"4;10   winter movement to 2.3;3.4"|"benthivore/piscivore:brittle stars;molluscs;crustaceans;annelids;sand lance;herring and roe;capelin and roe;silver hake;eels"|"1.8(males); 2.2(females)"|"30(males); 39(females)"|112|16.8|20|"228,000;1,773,000"|"young are commenssal with jellies.  Young are preyed on by cod, pollock, white hake. Adults eaten by seals. Some competition for food with cod."|||"XXXXX"
"Atlantic Tomcod"|17|"yes"|"fish"|"Gadoid"|"inshore;anadramous"|"demersal"||"0;69"|"0;3.9"|"benthivore/piscivore: amphipods;shrimps"|||38|0.57|4|"6,000;30,000"|"Can live in freshwater;spawn in estuaries: pollution sensitive"|||"XXXXX"
"Blue Whiting"|117|"yes?"|"fish"|"Gadoid"|"shelf;slope"|"mesopelagic"|"pelagic:diurnal vertical migrations"|"150;3000 (generally 200;600)"|6|"benthivore/zooplanktivore/piscivore:euphausiids (Meganyctiphanes norvegica);amphipods;shrimps;lanternfish (Hygophum hygomi)"|||50|0.83|20|6,000||1||"XXXXX"
"Pollock"|16|"yes"|"fish"|"Gadoid"|"shelf"|"pelagic"|"inshore(spring)/offshore(winter)"|"0;364,  preferred:110;181"|"7.2;8.6.  can withstand 0;18"|"piscivore/zooplanktivore:euphausiids;shrimps;herring"|"4;7"|"47.9;50.5"|130|32|25|"100,000;4,000,000"|"Competitor of silver hake. Preyed on by seals."|"http://www.answers.com/topic/pollock-1"||"XXXXX"
"Gadoids (Cod)"|251|"yes"|"fish"|"Gadoid"||"demersal"||||||||||||||"XXXXX"
