"name.common.worktable"|"spec"|"Exploited"|"general.taxonomic.group"|"Specific.taxonomic.group"|"habitat.horizontal"|"habitat.vertical"|"habitat.specific"|"depth"|"temperature"|"diet"|"mat.age.yr"|"mat.len.cm"|"size.max.len.cm"|"size.max.mass.kg"|"age.max.yr"|"fecundity.eggs.per.female"|"observations.of.interest"|"Needs.more.work"|"Notes"|"end"
"Mummichog"|769||"fish"|"killifish"||||||||||||||||"XXXXX"
"Fourspine Stickleback"|363||"fish"|"sticklebacks"||||||||||||||||"XXXXX"
"Threespine Stickleback"|361|"no"|"fish"|"sticklebacks"|"inshore;anadramous"|"benthopelagic"|"vegetated areas over mud and sand"|"0;100"|"4;20"|"worms;crustaceans;larvae and adult aquatic insects;drowned aerial insects;small fishes"|||11|||80||||"XXXXX"
"Blackspotted Stickleback"|364|"no"|"fish"|"sticklebacks"|"inshore"|"benthopelagic"|"vegetated areas. Coastal. Marine;brackish;fresh"|0:00:00|"temperate"|"piscivore/?:small invertebrates;small fish;eggs"|||7.6||1|"170;270"||||"XXXXX"
"Ninespine Stickleback"|362||"fish"|"sticklebacks"|"inshore;anadramous"|"benthopelagic"|"marine;freshwater. Vegetated areas of lakes, ponds, and pools of sluggish streams; sometimes in open water over sand"||"10;20"|"small invertebrates;aquatic insects and their eggs and larvae"|||9||5|350|"Males generally don't live past 3."|||"XXXXX"
"Sticklebacks"|360||"fish"|"sticklebacks"||||||||||||||||"XXXXX"
"Longspine Snipefish"|556||"fish"|"snipefishes"||||||||||||||||"XXXXX"
"Striped Mullet, Flathead Mullet"|48||"fish"||"inshore"|"benthopelagic"|"sand;mud;vegetation;brackish;marine;fresh"|"0;120"|"8;24"|"planktivore/benthivore:zooplankton;benthic organisms;detritus"|||120|12|16||"Sometimes stray to NS"|||"XXXXX"
"White Mullet"|47||"fish"||"catadromous"||"sand;mud;brackish;"|"15;?"|"subtropical"|"planktivore:microscopic or filamentous algae;juveniles of planktonic organisms"|||90|0.68||1,000,000|"Juveniles sometimes stray to NS. Also known as silver mullet"|||"XXXXX"
"Mullets"|265||"fish"|"mullets"||||||||||||||||"XXXXX"
"Percoidei"|652||"fish"|||||||||||||||||"XXXXX"
"Tunas and Swordfish"|73||"fish"|||||||||||||||||"XXXXX"
"Ruffs (Suborder Stromateoidei)"|951||"fish"|||||||||||||||||"XXXXX"
"Acanthurus"|584||"fish"|||||||||||||||||"XXXXX"
"Blackmouth Bass"|576||"fish"|"ocean bass"||||||||||||||||"XXXXX"
"Synagrops Spinosa"|673||"fish"|"ocean bass"||||||||||||||||"XXXXX"
"Synagrops"|897||"fish"|"ocean bass"||||||||||||||||"XXXXX"
"American Sand Lance"|599|"no"|"fish"|"Sand Lance"|"inshore"|"demersal"|"sand"|"0;73"|"temperate"|"zooplanktivore; Calanus finmarchicus"|2||22||9||"Occurs in large schools. Burrows in the sand,"|||"XXXXX"
"Northern Sand Lance"|610|"no"|"fish"|"Sand Lance"|"farther offshore"|"demersal"|"sand. Polar"|"0;36"|"cold"|"zooplanktivore; Calanus finmarchicus"|2||25||9||"Salinity. 30-36ppt"|||"XXXXX"
"Sand Lances"|590|"no"|"fish"|"Sand Lance"||"demersal"|"sand"|"shallow"|"cold"|"zooplanktivore:Calanus finmarchicus"|2||37||9|||2||"XXXXX"
"Sand Lance"|611|"no"|"fish"|"Sand Lance"||"demersal"|"sand"|"shallow"|"cold"|"zooplanktivore:Calanus finmarchicus"|2||37||9|||2||"XXXXX"
"Northern Wolffish"|52|"yes (in the past)"|"fish"|"Wolffish"||"demersal"|||||||||||"Species at Risk. Not allowed to keep"|1||"XXXXX"
"Striped Atlantic Wolffish"|50|"yes"|"fish"|"Wolffish"|"oceanodramous"|"demersal"|"rock"|"1;500 Typically 50;100"|"0.4;6"|"benthivore:molluscs;decapods;echinoderms"|"6;10"|"50;60(females);70(males)"|150|23.6|25|12,000|"Solitary. Sometimes in sand and mud"||"http://en.wikipedia.org/wiki/Seawolf_%28fish%29,http://www.polarlife.ca/organisms/fish/marine/wolffish/atlantic.htm"|"XXXXX"
"Spotted Wolffish"|51|"yes (in the past)"|"fish"|"Wolffish"|"oceanic, oceanodramous"|"demersal"|"soft bottom with boulders"|"25;600. Prefer 100;400"|"temperate"|"benthivore/piscivore:mainly echinoderms"|||180|27.9|||"Species at Risk. Not allowed to keep"|1||"XXXXX"
"Wolffish"|59|"yes"|"fish"|"Wolffish"||"demersal"|"rock.gravel"|||||||||||||"XXXXX"
"Flumefish"|781|"no"|"fish"|"cardinalfish"|"inshore;shelf"||"reef associated"|"0;128"|"tropical"||||11.1||||"Typically south of MA.  Larvae sometimes stray to NS. Nocturnal. Common aquarium fish."|||"XXXXX"
"Twospot Cardinalfish"|685|"no"|"fish"|"cardinalfish"|"inshore;shelf"||"reef associated"|"1;100"|||||11||||"Typically south of New England.  Larvae sometimes stray to NS."|||"XXXXX"
"Apogon Sellicaude"|782||"fish"|"cardinalfish"|||||||||||||"No record of this species."|||"XXXXX"
"Cardinal Fishes"|697||"fish"|"cardinalfish"||||||||||||||||"XXXXX"
"Silver-Rag"|785||"fish"|||||||||||||||||"XXXXX"
"Ariomma"|813||"fish"|||||||||||||||||"XXXXX"
"Bathyclupea Argentea"|581||"fish"|"deepsea herring"||||||||||||||||"XXXXX"
"Seaweed Blenny"|586|"no"|"fish"||||"reef associated"|"0;10"|"subtropical"||||8.5|||||||"XXXXX"
"Combtooth blennies"|597||"fish"|||||||||||||||||"XXXXX"
"Atlantic pomfret"|95||"fish"|"pomfrets"|"oceanodramous"|"bathypelagic"||"0;1000"||"benthivore/zooplanktivore/piscivore:fish;amphipods;cephalopods;euphausiids"|||100|6|9|||||"XXXXX"
"Pterycombus Brama"|495||"fish"|"pomfrets"||||||||||||||||"XXXXX"
"Taractes Asper"|898||"fish"|"pomfrets"||||||||||||||||"XXXXX"
"Taractes"|958||"fish"|"pomfrets"||||||||||||||||"XXXXX"
"Big-scale pomfret"|96||"fish"|"pomfrets"|"oceanodramous"|"pelagic"|||"subtropical"||||100|||||||"XXXXX"
"Pomfrets, Ocean breams"|995||"fish"|"pomfrets"||||||||||||||||"XXXXX"
"Spotfin Dragonet"|637||"fish"|||||||||||||||||"XXXXX"
"Coral (Lancer) Dragonet"|653||"fish"|||||||||||||||||"XXXXX"
"Callionymus Pauciradiatus"|658||"fish"|||||||||||||||||"XXXXX"
"Callionymus"|657||"fish"|||||||||||||||||"XXXXX"
"Dragonets"|635||"fish"|||||||||||||||||"XXXXX"
"Blue Runner"|85||"fish"|"jacks"|"inshore"||"reef associated;Sargassum"|"0;100"|"subtropical"|"piscivore:fish;shrimp;invertebrates"|||70|5.05|11|41000||||"XXXXX"
